id,label,PC1,PC2
iB_15852,1,-7.3456583,-1.0114625
iB_05235,1,-7.6125317,2.6391392
iB_02383,1,-5.669218,5.3752813
iB_09196,1,-6.807197,-4.433312
iB_07153,1,-7.5911784,-0.7911452
iB_08928,1,-5.4404993,-0.79460764
iB_08394,1,-2.2457166,3.8208475
iB_16500,1,-6.4563427,2.4662197
iB_12866,1,-3.8629427,-4.2085934
iB_12980,1,-8.411647,-1.0068792
iB_03227,1,-5.984785,-1.5882114
iB_17390,1,-5.252066,-0.0009597043
iB_05949,1,-4.663233,1.8034282
iB_04479,1,-8.579831,0.06641351
iB_01886,1,-7.356836,2.2306626
iB_13728,1,-7.2179203,2.6813383
iB_17538,1,-6.1947713,-1.2998999
iB_13285,1,-4.4249563,-7.393646
iB_01727,1,-6.2877774,2.7581437
iB_13999,1,0.3373085,-1.9155068
iB_16016,1,-6.6415057,0.42523685
iB_02390,1,-7.1961823,2.5390956
iB_05711,1,-4.791701,-1.9249271
iB_16462,1,-5.549053,-1.2844416
iB_09862,1,-3.4961202,-2.5870953
iB_10361,1,-4.8448243,4.2392573
iB_09834,1,-6.02067,0.15505248
iB_07918,1,-7.73913,-1.8252311
iB_12351,1,-6.3761435,0.087203614
iB_09003,1,-4.7115464,-0.21376522
iB_16387,1,-4.873616,4.650489
iB_10904,1,-7.2506146,0.0017060556
iB_04539,1,-6.5248103,-0.18299969
iB_17355,1,-4.8776174,0.59136534
iB_07082,1,-4.318015,-3.6685567
iB_07278,1,-6.9368377,-1.4818095
iB_12419,1,-6.6902833,-1.0170771
iB_01227,1,-6.9543753,2.772069
iB_02491,1,-4.7987614,4.3081794
iB_03156,1,-6.6523347,2.8467672
iB_05357,1,-7.2712398,0.45145318
iB_00556,1,-8.172165,-0.3141337
iB_00347,1,-4.5628986,-1.7573214
iB_06521,1,1.5924563,5.602225
iB_04974,1,-7.9675207,0.4523803
iB_15405,1,-4.2584248,-0.85512155
iB_05659,1,-7.868883,0.6017635
iB_04824,1,-8.345094,-0.63848865
iB_12118,1,-5.75559,1.1647967
iB_05251,1,-6.640206,-2.250016
iB_13256,1,-7.094316,2.4115882
iB_05671,1,-7.8308463,0.3496818
iB_05561,1,-8.101065,-0.20439811
iB_16222,1,3.732767,6.9457126
iB_15153,1,-5.712901,1.3861591
iB_12325,1,-7.5984573,-0.029237939
iB_05625,1,-7.21524,2.119665
iB_04545,1,-4.9906654,4.121596
iB_16033,1,-6.1785073,2.2277982
iB_13014,1,-6.029567,-1.1568234
iB_15608,1,-4.525545,0.40098903
iB_07443,1,-5.4971886,0.90437794
iB_11026,1,-0.06565714,-1.2238628
iB_06674,1,-6.3810596,3.9601514
iB_12054,1,-5.220217,-0.8355957
iB_00598,1,-6.413002,-1.6787565
iB_16570,1,-5.562494,1.5804774
iB_12123,1,-5.9360576,-6.338281
iB_05284,1,-7.6758437,-0.23040542
iB_09067,1,-5.251182,3.458099
iB_00288,1,-6.7243495,0.6284143
iB_06043,1,-6.3520045,3.5206206
iB_16615,1,-8.430705,-1.6367983
iB_13789,1,-8.315008,0.5307398
iB_16395,1,-7.664345,1.4217073
iB_13913,1,-3.560915,-7.634407
iB_06034,1,-7.478759,-1.7969306
iB_00100,1,-1.2072572,2.7625473
iB_10511,1,-6.822618,1.9303002
iB_16251,1,-6.271599,-1.9041432
iB_03192,1,-7.6529846,0.73728025
iB_06524,1,-7.668211,1.4299815
iB_01159,1,-6.5528874,0.8259621
iB_16095,1,-0.9450776,-0.5508612
iB_03837,1,-7.295903,-1.0889392
iB_00773,1,-6.6331406,0.29468232
iB_08887,1,-2.8011696,-1.6261083
iB_01584,1,-7.868817,0.7671679
iB_13264,1,-7.030768,0.06496892
iB_04255,1,-7.705564,0.038794737
iB_10542,1,-7.3244095,2.8777556
iB_01715,1,-6.7872334,2.3633947
iB_05914,1,-8.15,0.19546378
iB_05527,1,2.504887,0.6747872
iB_03675,1,-7.040932,2.6763678
iB_10641,1,-6.555744,0.14706351
iB_03693,1,-6.647557,-0.39230183
iB_06839,1,-8.312098,-1.1773114
iB_00546,1,-7.736506,1.4691395
iB_01866,1,-4.5865574,4.7648716
iB_12477,1,-7.271978,2.7122774
iB_09168,1,-4.379031,-2.7399135
iB_10753,1,-6.8709016,-0.671667
iB_13901,1,-3.1421118,0.94564027
iB_15058,1,-2.8345158,-4.5963964
iB_16422,1,-5.9204364,-4.5943184
iB_14285,1,-5.6264124,-0.26090482
iB_13062,1,-5.907879,-5.8844795
